Segments,Segments
Reports,Reports
"Add New","Add New"
Settings,Settings
From,From
To,To
"Customer Segment","Customer Segment"
"Please select up to 3 segments","Please select up to 3 segments"
"Segments Comparison","Segments Comparison"
"Please select customer(s)","Please select customer(s)"
"Total of %1 record(s) were removed from this segment.","Total of %1 record(s) were removed from this segment."
"Total of %1 customer(s) were excluded from this segment.","Total of %1 customer(s) were excluded from this segment."
"The segment has been successfully deleted.","The segment has been successfully deleted."
"New Segment","New Segment"
"Please select segment(s)","Please select segment(s)"
"Total of %1 segment(s) were deleted.","Total of %1 segment(s) were deleted."
"This segment no longer exists.","This segment no longer exists."
"You have saved the segment.","You have saved the segment."
"Manage Segments","Manage Segments"
"Segment Refresh Started","Segment Refresh Started"
"Segment Refresh Finished","Segment Refresh Finished"
"Segment Refresh Iteration Started","Segment Refresh Iteration Started"
"Segment Refresh Iteration Finished","Segment Refresh Iteration Finished"
"Add Customer","Add Customer"
"Remove Customer","Remove Customer"
"Customer Group Change","Customer Group Change"
"-- Please Select --","-- Please Select --"
"All Segments","All Segments"
Active,Active
Inactive,Inactive
"Registered and Guest Customers","Registered and Guest Customers"
"Registered Customers","Registered Customers"
"Guest Customers","Guest Customers"
Customer,Customer
"Customer Segment %1 %2","Customer Segment %1 %2"
"Conditions Combination","Conditions Combination"
Subtotal,Subtotal
"Grand Total","Grand Total"
Tax,Tax
Shipping,Shipping
"Shopping Cart %2 Amount %3 %4","Shopping Cart %2 Amount %3 %4"
"Shopping Cart %1 Amount %2 %3","Shopping Cart %1 Amount %2 %3"
Count,Count
QTY,QTY
"Shopping Cart Products %1 %2 %3","Shopping Cart Products %1 %2 %3"
Billing,Billing
Any,Any
"If %1 %2 Address match %3 of these Conditions:","If %1 %2 Address match %3 of these Conditions:"
Billing*,Billing*
Shipping*,Shipping*
Region,Region
"Address: %1","Address: %1"
exists,exists
"does not exist","does not exist"
"Customer %1","Customer %1"
"Last Activity","Last Activity"
"Last Activity was %1 %2 days ago","Last Activity was %1 %2 days ago"
"Newsletter Subscription","Newsletter Subscription"
subscribed,subscribed
"not subscribed","not subscribed"
"Customer is %1 to newsletter.","Customer is %1 to newsletter."
"Date Range %1 within %2","Date Range %1 within %2"
"Open Chooser","Open Chooser"
"Follow Up Email Subscription","Follow Up Email Subscription"
"one of these","one of these"
"all of these","all of these"
"Follow Up Email condition can only be used if the Follow Up Email extension is installed and enabled","Follow Up Email condition can only be used if the Follow Up Email extension is installed and enabled"
"Customer is unsubscribed from %1 Follow Up Email triggers: %2.","Customer is unsubscribed from %1 Follow Up Email triggers: %2."
All,All
title,title
SKU,SKU
"Item: %1","Item: %1"
"Order Address %1 a %2","Order Address %1 a %2"
"Order Status %1 %2","Order Status %1 %2"
"Value Provider for type %1 does not exist.","Value Provider for type %1 does not exist."
"Product: %1","Product: %1"
Was,Was
"Was Not","Was Not"
