"Follow Up Email","Follow Up Email"
"No Emails Found","No Emails Found"
ID,ID
Status,Status
"Ready to go","Ready to go"
Sent,Sent
Canceled,Canceled
Error,Error
Missed,Missed
Unsubcribed,Unsubcribed
Trigger,Trigger
"Scheduled At","Scheduled At"
"Sent At","Sent At"
"Event Log","Event Log"
"Fetch New Events","Fetch New Events"
Event,Event
Message,Message
Arguments,Arguments
"Created At","Created At"
Triggers,Triggers
Store,Store
Actions,Actions
"Reset & Process","Reset & Process"
Delete,Delete
"Are you sure?","Are you sure?"
Validate,Validate
"Select Trigger","Select Trigger"
"Manage Campaigns","Manage Campaigns"
"Mail Log","Mail Log"
"Manage Templates","Manage Templates"
Settings,Settings
"Recipient Email","Recipient Email"
"Recipient Name","Recipient Name"
Action,Action
Cancel,Cancel
Send,Send
Reset,Reset
Pending,Pending
"Change status","Change status"
Back,Back
"Unsubscription List","Unsubscription List"
"Unsubscribe Email","Unsubscribe Email"
"Close Window","Close Window"
Unsubscribe,Unsubscribe
"Unsubscribe & Close","Unsubscribe & Close"
Save,Save
"Set emails via comma to unsubscribe","Set emails via comma to unsubscribe"
"Updated At","Updated At"
Email,Email
Subscribe,Subscribe
"The cart for restoring can't be found.","The cart for restoring can't be found."
"Operation is not allowed","Operation is not allowed"
"Please specify an email address","Please specify an email address"
"Please specify trigger event first","Please specify trigger event first"
"Test email was successfully sent","Test email was successfully sent"
"Unable to find email to send","Unable to find email to send"
"Operation is not allowed.","Operation is not allowed."
"A total of %1 record(s) have been sent.","A total of %1 record(s) have been sent."
"Wrong unsubscription link","Wrong unsubscription link"
"You have been successfully unsubscribed from receiving these emails.","You have been successfully unsubscribed from receiving these emails."
"The email not found.","The email not found."
"The Campaign has been deleted.","The Campaign has been deleted."
"This Campaign no longer exists.","This Campaign no longer exists."
"Campaign was successfully duplicated.","Campaign was successfully duplicated."
"Unable to find campaign to duplicate","Unable to find campaign to duplicate"
"This item no longer exists.","This item no longer exists."
"New Campaign","New Campaign"
"Campaign was successfully saved","Campaign was successfully saved"
"Unable to find campaign to save","Unable to find campaign to save"
"The email has been deleted.","The email has been deleted."
"This email no longer exists.","This email no longer exists."
"Email was successfully duplicated.","Email was successfully duplicated."
"Unable to find email to duplicate","Unable to find email to duplicate"
"Email was successfully saved","Email was successfully saved"
"Unable to find email to save","Unable to find email to save"
Events,Events
"The event has been deleted.","The event has been deleted."
Completed.,Completed.
"Please select event(s)","Please select event(s)"
"Total of %1 record(s) were deleted","Total of %1 record(s) were deleted"
"Total of %1 record(s) were reset","Total of %1 record(s) were reset"
"The event ID %1 passed validation","The event ID %1 passed validation"
"The event ID %1 failed validation","The event ID %1 failed validation"
"Selected event (ID: %1) is not compatible with the trigger ""%2"". Using this trigger, you can validate events with the code ""%3""","Selected event (ID: %1) is not compatible with the trigger ""%2"". Using this trigger, you can validate events with the code ""%3"""
"Total of %1 event(s) were validated. Passed: %2, failed: %3","Total of %1 event(s) were validated. Passed: %2, failed: %3"
Done.,Done.
"Mail Queue","Mail Queue"
"The message was canceled.","The message was canceled."
"The mail was removed.","The mail was removed."
