"Config Builder","Config Builder"
"Add New Config","Add New Config"
"This report no longer exists.","This report no longer exists."
"The config has been deleted.","The config has been deleted."
"This config no longer exists.","This config no longer exists."
"You saved the config.","You saved the config."
Back,Back
Delete,Delete
"Are you sure you want to do this?","Are you sure you want to do this?"
Save,Save
Edit,Edit
"General Information","General Information"
Title,Title
"XML Config","XML Config"
ID,ID
