"My Reward Points","Mine belønningspoint"
"Checkout now and earn <b>%1</b> for this order.","Checkout nu og tjen <b>%1</b> for denne ordre."
"Applies only to registered customers, may vary when logged in.","Gælder kun for registrerede kunder, kan variere, når de er logget ind."
"Possible discount %1 %2","Mulig rabat %1 %2"
"Earn %1 %2","Tjen %1 %2"
Grid,Grid
List,Liste
All,Alle
"Referral %1","Henvisning %1"
"Something went wrong while saving your subscription.","Noget gik galt, mens du gemte dit abonnement."
"We removed your subscription on expiring points notification.","Vi har fjernet dit abonnement på udløbsrapporter."
"Cannot apply points.","Kan ikke anvende punkter."
"You've earned %1 for Facebook Like!","Du har tjent %1 for Facebook Ligesom!"
"You've earned %1 for Facebook Share!","Du har tjent %1 for Facebook Share!"
"Facebook Like Points has been canceled","Facebook Like Points er blevet annulleret"
"You've earned %1 for Google+!","Du har tjent %1 for Google+!"
"G+1 Points has been canceled","G + 1 point er blevet annulleret"
"You've earned %1 for Pin!","Du har tjent %1 for Pin!"
"Invalid form key. Try again","Ugyldig formular nøgle. Prøv igen"
"Customer with email %1 has been already invited to our store","Kunden med e-mail %1 er allerede inviteret til vores butik"
"Your invitations were sent. Thanks!","Dine invitationer blev sendt. Tak!"
"You've earned %1 for Tweet!","Du har tjent %1 for Tweet!"
"You received %1 for signing up","Du modtog %1 for tilmelding"
"You received %1 for sending this product","Du har modtaget %1 for at sende dette produkt"
"You received %1 for sign up for newsletter","Du modtog %1 for at tilmelde dig nyhedsbrev"
"You received %1 for sign up for push notifications","Du modtog %1 for at tilmelde dig push-underretninger"
"You will receive %1 after approving of this tag","Du vil modtage %1 efter godkendelse af dette mærke"
"You will receive %1 after approving of this review","Du modtager %1 efter godkendelse af denne anmeldelse"
"You received %1 for sign up of referral customer.","Du modtog %1 for tilmelding af henvisningskunde."
"You received %1 for order of referral customer.","Du modtog %1 for bestilling af henvisningskunde."
"Happy birthday! You received %1.","Tillykke med fødselsdagen! Du modtog %1."
"You received %1 for joining the affiliate program.","Du modtog %1 for at deltage i affilieret program."
"%1 were applied.","%1 blev anvendt."
"Minimum number is %1.","Mindste nummer er %1."
"Maximum number is %1.","Maksimalt tal er %1."
"%1 was canceled.","%1 blev annulleret."
"Cannot apply %1.","Kan ikke anvende %1."
"You can use the following variables:","Du kan bruge følgende variabler:"
Pattern,Mønster
"Attribute Value",Egenskabsværdi
Default,Standard
Integer,Heltal
Price,Pris
"Strip Tags","Strip Tags"
"Primary Attributes","Primær attributter"
"Stock Attributes","Lager attributter"
"Prices & Taxes","Priser og skatter"
Images,Billeder
"Custom Attributes","Brugerdefinerede attributter"
Mapping,Kortlægning
Category,Kategori
"Amasty Meta Tags","Amasty Meta Tags"
"Others Attributes","Andre attributter"
Flexible,Fleksibel
Fixed,Fast
"Customer signs up in store","Kunde tegn op i butikken"
"Customer places order","Kunde placerer ordre"
"Customer refer a friend","Kunde henvise til en ven"
"Customer adds tag to a product","Kunde tilføjer tag til et produkt"
"Customer writes a product review","Kunden skriver en produktanmeldelse"
"Customer has a birthday","Kunde har en fødselsdag"
"Customer is inactive for long time","Kunden er inaktiv i lang tid"
"Newsletter sign up","Nyhedsbrev tilmelding"
"Facebook Share","Facebook Share"
"Facebook Like","Facebook lignende"
