My Reward Points,Punkty lojalnościowe
Checkout now and earn <b>%1</b> for this order.,Zamów teraz i otrzymaj <b>%1</b> za to zamówienie
"Applies only to registered customers, may vary when logged in.",Dotyczy tylko zarejestrowanych klientów (może się różnić po zalogowaniu)
Possible discount %1 %2,Dostępna zniżka %1 %2
Earn %1 %2,Zdobądź %1 %2
Grid,Siatka
List,Lista
All,Wszystkie
Referral %1,Polecający %1
Something went wrong while saving your subscription.,"Coś poszło nie tak, gdy zapisywaliśmy Twoją subskrybcję."
We removed your subscription on expiring points notification.,Usunęliśmy subskrypcję powiadomień o wygasających punktach.
Cannot apply points.,Nie można wykorzytać punktów.
You've earned %1 for Facebook Like!,Otrzymałeś(aś) %1 za polubienie na Facebooku!
You've earned %1 for Facebook Share!,Otrzymałeś(aś) %1 za udostępnienie na Facebooku!
Facebook Like Points has been canceled,Punkty za polubienia na Facebooku zostały anulowane
You've earned %1 for Google+!,Otrzymałeś(aś) %1 za Google+!
G+1 Points has been canceled,Punkty za G+1 zostały anulowane
You've earned %1 for Pin!,Otrzymałeś(aś) %1 za Pina!
Invalid form key. Try again,Nieprawidłowy klucz. Spróbuj ponownie.
Customer with email %1 has been already invited to our store,Klient posiadajacy e-mail %1 został już zaproszony do naszego sklepu
Your invitations were sent. Thanks!,Twoje zaproszenia zostały wysłane. Dziękujemy!
You've earned %1 for Tweet!,Otrzymałeś(aś) %1 za tweeta!
You received %1 for signing up,Otrzymałeś(aś) %1 za rejestrację
You received %1 for sending this product,Otrzymałeś(aś) %1 za wysłanie tego produktu
You received %1 for sign up for newsletter,Otrzymałeś(aś) %1 za subskrybcję do newslettera 
You received %1 for sign up for push notifications,Otrzymałeś(aś) %1 za włączenie powiadomień typu Push
You will receive %1 after approving of this tag,Otrzymasz %1 po zatwierdzeniu tego tagu
You will receive %1 after approving of this review,Otrzymasz %1 po zatwierdzeniu recenzji
You received %1 for sign up of referral customer.,Otrzymałeś(aś) %1 za rejestrację klienta poleconego
You received %1 for order of referral customer.,Otrzymałeś(aś) %1 za zamówienie poleconej osoby
Happy birthday! You received %1.,Wszystkiego najlepszego z okazji urodzin! Otrzymałeś(aś) %1
You received %1 for joining the affiliate program.,Otrzymałeś(aś) %1 za przystąpienie do programu partnerskiego
%1 were applied.,Wykorzystano %1
Minimum number is %1.,Minimalna liczba to %1
Maximum number is %1.,Maksymalna liczba to %1
%1 was canceled.,%1 zostały anulowane.
Cannot apply %1.,Nie można zastosować %1
You can use the following variables:,Możesz użyć następujących zmiennych:
Pattern,Wzór
Attribute Value,Wartość atrybutu
Default,Domyślnie
Integer,Liczba całkowita
Price,Cena
Strip Tags,Znaczniki paskowe
Primary Attributes,Podstawowe atrybuty
Stock Attributes,Atrybuty stanu magazynowego
Prices & Taxes,Ceny i podatki
Images,Obrazy
Custom Attributes,Atrybuty niestandardowe
Mapping,Mapowanie
Category,Kategoria
Amasty Meta Tags,Znaczniki Amasty Meta
Others Attributes,Inne atrybuty
Flexible,Elastyczność
Fixed,Stały
Customer signs up in store,Klient rejestruje się w sklepie
Customer places order,Klient składa zamówienie
Customer refer a friend,Klient polecił przyjaciela
Customer adds tag to a product,Klient dodaje znacznik do produktu
Customer writes a product review,Klient pisze recenzję produktu
Customer has a birthday,Klient ma urodziny
Customer is inactive for long time,Klient jest nieaktywny przez długi czas
Newsletter sign up,Subskrybcja newslettera
Facebook Share,Udostępnienie na Facebooku
Facebook Like,Polubienie na Facebooku
Twitter Tweet,Tweet na Tweeterze
Google+ Like,Polubienie na Google+
Pinterest Pin,Pin na Pinterest
Customer joins the affiliate program,Klient dołacza do programu partnerskiego
Push Notifications sign up,Subskrypcja na aktywne powiadomienia typu Push
Referred customer signs up in store,Polecony klient rejestruje się w sklepie
Order from referred customer,Zamówienie od poleconego klienta
Points to Currency,Punkty na walutę
Currency to Points,Waluta na punkty
Customer Account > My Reward Points,Konto Klienta > Moje punkty lojalnościowe
Customer Account > My Referrals,Konto Klienta > Moje Polecenia
Cart Page,Strona koszyka
Message Sent,Wiadomość wysłana
Signed Up,Zarejestrowany
Made Order,Złożone zamówienie
Visited by Referral Link,Odwiedzono link polecający
Subtotal + Tax,Suma częściowa + podatek
Subtotal + Tax + Shipping,Suma częściowa + podatek + dostawa
Product Rule,Reguła produktu
Cart Rule,Reguła koszyka
Behavior Rule,Reguła zachowania
Transaction #%1 is expired,Transakcja %1 wygasła
Update the Product,Aktualizacja produktu
Is Rewards Points used,Wykorzystano punkty lojalnościowe
Coupon Used,Wykorzystano kupon rabatowy
Coupon Code,Kod kuponu
No,Nie
Yes,Tak
Conditions Combination,Połączenie warunków
Product attribute combination,Połączenie atrybutów produktu
Products subselection,Podselekcja produktów
Conditions combination,Połączenie warunków
Cart Attribute,Atrybut koszyka
Customer,Klient
Last 7-days Clicks,Kliknięcia za ostatnie 7 dni
Last 7-days Orders,Zamówienia za ostatnie 7 dni
Last 7-days Revenue,Dochody za ostatnie 7 dni
Is Referee,Jest polecającym
Is Referral,Jest poleconym
Email,Email
Group,Grupa
Lifetime Sales,Wartość wszystkich złożonych zamówień
Lifetime Spent Points,Łącznie wydane punkty
Number of Orders,Liczba zamówień
Is subscriber of newsletter,Czy subskrybuje newsletter
Number of reviews,Liczba recenzji
Number of referred friends signups,Liczba zarejestrowanych poleconych przyjaciół
Number of referred friends orders,Liczba zamówień od poleconych przyjaciół
Sum of referred friends orders,Łączna wartość zamówień poleconych przyjaciół
Number of referrals who ordered at least once,"Liczba poleconych osób, które zamówiły co najmniej raz"
Not registered,Niezarejestrowany
Attribute Set,Zestaw atrybutów
Quantity,Ilość
Product Type,Rodzaj produktu
Base Image,Obraz podstawowy
Thumbnail,Miniaturka
Small Image,Mały obraz
Base Image Size (bytes),Rozmiar obrazu podstawowego (bajty)
Thumbnail Size (bytes),Rozmiar miniaturki (bajty)
Small Image Size (bytes),Rozmiar małego obrazu (bajty)
PHP Condition,Warunek PHP
Base Price,Cena podstawowa
Final Price,Cena końcowa
Special Price,Cena specjalna
Open Chooser,Wybierz
Referred: Group,Polecony: Grupa
Referred: Lifetime Sales,Polecony: Wartość zamówień
Referred: Number of Orders,Polecony: Liczba zamówień
Referred: Is subscriber of newsletter,Polecony: Czy jest subskrybuje newsletter
Referred: Number of reviews,Polecony: Liczba recenzji
Please specify a website.,Proszę podać stronę internetową.
Please specify a customer email.,Proszę podać adres e-mail klienta.
We found an invalid value in a website column.,Znaleźliśmy nieprawidłową wartość w kolumnie strony internetowej.
Please enter a valid email.,Proszę wpisać prawidłowy adres e-mail.
"Please make sure attribute ""%1"" is not empty.","Upewnij się, że atrybut ""%1"" nie jest pusty."
We can't find a customer who matches this email and website code.,"Nie możemy znaleźć klienta, do którego pasuje podany email i kod strony internetowej."
-- Please Select --,-- Proszę wybrać --
Discount Used,Zastosowano zniżkę
Custom Product Attributes,Niestandardowe atrybuty produktu
- Disable these emails -,- Wyłącz te emaile -
Give X points to customer,Daj X punktów klientowi
Give X points for every spent Y,Daj X punktów za każde wydane Y
Give X points for every Z quantity,Daj X punktów za każdą ilość Z.
"For every Y, give X points","Za każde Y, daj X punktów."
Pending,Oczekuje
Approved,Zatwierdzone
Discarded,Usunięty
You do not have permissions to create transactions. Please contact your site administrator.,Nie masz uprawnień do realizowania transakcji. Prosimy o kontakt z administratorem strony.
%1 has been added.,%1 zostało dodane.
%1 has been deducted.,%1 zostało odjęte.
You earned %1 and spent %2 for this order.,W tym zamówieniu otrzymałeś %1 oraz wydałeś %2.
You spent %1 for this order.,W tym zamówieniu wydałeś %1.
You earned %1 for this order.,Za to zamówienie otrzymałeś %1.
Earned points will be enrolled to your account after we finish processing your order.,"Będziesz mógł używać punktów, gdy Twoje zamówienie zostanie zrealizowane."
Rewards error occurred on the server. Please try to place the order again.,"Wystąpił błąd podczas składania zamówienia, prosimy spróbować jeszcze raz."
Earn at least %1 %2,Otrzymaj co najmniej %1 %2
Reward Points,Punkty lojalnościowe
Edit,Edytuj
Back,Wróć
Delete,Usuń
Are you sure you want to do this?,Na pewno chcesz to zrobić?
Reset,Resetuj
Save and Continue Edit,Zapisz i kontynuuj edycję
Save,Zapisz
"Delete the record with ID ""${ $.$data.transaction_id }""","Usuń transakcję o ID ""${ $.$data.transaction_id }"""
"Are you sure you wan't to delete the record with ID ""${ $.$data.transaction_id }""?","Czy na pewno chcesz usunąć transakcję o ID ""${ $.$data.transaction_id }""?"
Points Summary,Podsumowanie Punktów
To unsubscribe from points expiring notification click %1,Aby wyłączyć powiadomienia o wygasających punktach kliknij %1
You have <b>%1</b> in your account.,Masz <b>%1</b> na swoim koncie.
Transactions History,Historia transakcji
ID,ID
Comment,Komentarz
Points,Punkty
Created,Stworzone
Expires,Wygasa
There are no Transactions.,Jeszcze nie ma transakcji.
Pending Transactions,Transakcje w toku
Order,Zamówienie
Status,Status
Your points balance will expire in %1 days.,Twoje punkty wygasają za %1 dni.
Visit My Reward Points Section,Odwiedź sekcję Moje punkty lojalnościowe
Login to earn %1 for sharing!,"Zaloguj się, aby otrzymać %1 za udostępnienie!"
Earn %1 for sharing!,Otrzymaj %1 za udostępnienie!
Like this page and earn %1,Polub tę stronę i otrzymaj %1
Share,Udostępnij
Share this page and earn %1,Udostępnij tę stronę i otrzymaj %1
Plus this page and earn %1,Dodaj tę stronę i otrzymaj %1
Pin this page and earn %1,Zrób Pina tej strony i otrzymaj %1
Refer Friends,Poleć znajomym
Refer friend and earn %1. More friends more points!,Poleć znajomemu i otrzymaj %1. Więcej znajomych - więcej punktów!
Tweet,Tweet
Tweet this page and earn %1,Tweetuj tę stronę i otrzymaj %1
Check this out!,Sprawdź to!
You have <b>%1</b> available.,Masz dostępne <b>%1</b>.
Enter amount of points to spend:,Wprowadź liczbę punktów do użycia:
Use maximum %1,Możesz użyć maksymalnie %1
Apply Points,Zastosuj Punkty
Apply,Zastosuj
Cancel Points,Anuluj Punkty
Cancel,Anuluj
Use %1,Wykorzystaj %1
You Earn,Otrzymujesz
You Spend,Wydajesz
Discount amount,Zniżka
Use Reward Points,Użyj punktów lojalnościowych
This is a required field,Te pole jest wymagane
Subscription to Points Expiration Notification,Powiadomienia o wygasających punktach
Earning %1,Zdobywanie %1
Buy to earn %1,Kup i otrzymaj %1
You'll earn %1 for this item,Za ten przedmiot otrzymasz %1
Share with Friends,Udostepnij znajomym
Share the referral link in the social media and get points!,Udostępnij link polecający w mediach społecznościowych i zdobądź punkty!
Tweet on Twitter,Tweet na Twitterze
Your referral link:,Twój link polecający:
Send Invitations,Wyślij zaproszenia
Enter contacts of your friends to invite them.,"Wprowadź dane kontaktowe znajomych, aby ich zaprosić."
Name,Imię
Message,Wiadomość
Referrals,Polecenia
Referred by link,Polecony za pomocą linku
There are no Referrals,Jeszcze nikt nie został polecony
You have,Masz
available.,dostępne.
Use maximum,Wykorzystaj maksymalnie
Enter amount of points to spend,Wprowadź liczbę punktów do wydania
Use,Zastosuj
Notification Rules' messages,Komunikaty powiadomień
Template,Szablon
Notification Rule Template,Szablon powiadomień
My Referrals,Moje polecenia
Referrals List,Lista poleceń
today,dzisiaj
ago,temu
Cannot delete transaction with id %1,Nie można usunąć transakcji z id %1
Expires in,Wygasa za
How to earn,Jak zdobywać
Spend points and receive discounts,Wykorzystuj punkty i otrzymuj zniżki
Total number of referred friends: %1,Łączna liczba poleconych przyjaciół: %1
Or you may send this link in your messages to anyone,Albo możesz wysłać ten link komukolwiek
Your Transactions,Twoje transakcje
My Points,Moje punkty
Share & Save,Udostępniaj i oszczędzaj
History,Historia
in %1 %2,w %1 %2
in %1 days,w %1 dni
in %1 day,w %1 dzień
%1 %2 ago,%1 %2 temu
%1 days ago,%1 dni temu
%1 day ago,%1 dzień temu
How to earn points,Jak zdobywać punkty
You have invited %1 friends,Zaprosiłeś/-łaś %1 przyjaciół.
Share the referral link in the social media,Udostępnij link polecający w mediach społecznościowych
You may send this link in your messages to anyone,Możesz wysłać ten link komukolwiek
Page not found.,Strona nie została znaleziona.
Customer tier up,Klient zdobywa kolejny poziom
Customer tier down,Klient spada do niższego poziomu
sum of earned points,suma zdobytych punktów
sum of spent %1,suma wydanych %1
