"Reward Points","Reward Points"
"Rewards Information","Rewards Information"
"Available Points Balance","Available Points Balance"
"Change Balance","Change Balance"
"Enter positive or negative number of points. E.g. 10 or -10","Enter positive or negative number of points. E.g. 10 or -10"
"Message in the rewards history","Message in the rewards history"
"Customer will see this in his account","Customer will see this in his account"
"No Records Found","No Records Found"
ID,ID
"Balance Change","Balance Change"
Comment,Comment
"Created At","Created At"
"Expires At","Expires At"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Apply the rule only to cart items matching the following conditions (leave blank for all items)"
"Apply To","Apply To"
"Apply the rule only if the following conditions are met (leave blank for all products)","Apply the rule only if the following conditions are met (leave blank for all products)"
Conditions,Conditions
"Earning Rules","Earning Rules"
"Spending Rules","Spending Rules"
"Notification Rules","Notification Rules"
Tiers,Tiers
Transactions,Transactions
"Customer Referrals","Customer Referrals"
Reports,Reports
"Refresh Statistics","Refresh Statistics"
Settings,Settings
Save,Save
Delete,Delete
"Save And Continue Edit","Save And Continue Edit"
"Edit Referral '%1'","Edit Referral '%1'"
"Create New Referral","Create New Referral"
"%1 %2 Refunded","%1 %2 Refunded"
"%1 %2 Spent","%1 %2 Spent"
"%1 Earned","%1 Earned"
"%1 Spent","%1 Spent"
"'%1 Earned' .","'%1 Earned' ."
"Customer Name","Customer Name"
"Customer Email","Customer Email"
"Customer Group","Customer Group"
Action,Action
Code,Code
"Is expired","Is expired"
"Is sent","Is sent"
"Amount Used","Amount Used"
"New Earning Rule","New Earning Rule"
"Earning Rule was successfully deleted","Earning Rule was successfully deleted"
"Edit Earning Rule '%1'","Edit Earning Rule '%1'"
"The Earning Rule does not exist.","The Earning Rule does not exist."
"Total of %1 record(s) were successfully updated","Total of %1 record(s) were successfully updated"
"Please select Earning Rule(s)","Please select Earning Rule(s)"
"Total of %1 record(s) were successfully deleted","Total of %1 record(s) were successfully deleted"
"Earning Rule was successfully saved","Earning Rule was successfully saved"
"Unable to find Earning Rule to save","Unable to find Earning Rule to save"
"Number of Points (X)","Number of Points (X)"
"Quantity Step (Z)","Quantity Step (Z)"
"Step (Y)","Step (Y)"
"Field ""%1"" should be valid number, i.e. 5 or 7.5","Field ""%1"" should be valid number, i.e. 5 or 7.5"
"Field ""%1"" should be valid number and percent should be equal or less then 100","Field ""%1"" should be valid number and percent should be equal or less then 100"
"New Notification Rule","New Notification Rule"
"Notification Rule was successfully deleted","Notification Rule was successfully deleted"
"Edit Notification Rule '%1'","Edit Notification Rule '%1'"
"The Notification Rule does not exist.","The Notification Rule does not exist."
"Please select Notification Rule(s)","Please select Notification Rule(s)"
"Notification Rule was successfully saved","Notification Rule was successfully saved"
"Unable to find Notification Rule to save","Unable to find Notification Rule to save"
"Please select Referral(s)","Please select Referral(s)"
"Statistics was successfully updated","Statistics was successfully updated"
"Database error. Please contact developers.","Database error. Please contact developers."
Rewards,Rewards
"You have not any statistic. Please refresh statistic.","You have not any statistic. Please refresh statistic."
"New Spending Rule","New Spending Rule"
"Spending Rule was successfully deleted","Spending Rule was successfully deleted"
"Edit Spending Rule '%1'","Edit Spending Rule '%1'"
"The Spending Rule does not exist.","The Spending Rule does not exist."
"Please select Spending Rule(s)","Please select Spending Rule(s)"
"Spending Rule was successfully saved","Spending Rule was successfully saved"
"Unable to find Spending Rule to save","Unable to find Spending Rule to save"
"Customer receive Y discount","Customer receive Y discount"
"Spend minimum","Spend minimum"
"Spend maximum","Spend maximum"
"New Tier","New Tier"
