"Referral %1","Referral %1"
"You've earned %1 for Facebook Like!","You've earned %1 for Facebook Like!"
"You've earned %1 for Facebook Share!","You've earned %1 for Facebook Share!"
"Facebook Like Points has been canceled","Facebook Like Points has been canceled"
"You've earned %1 for Pin!","You've earned %1 for Pin!"
"You've earned %1 for Tweet!","You've earned %1 for Tweet!"
"Login to earn %1 for sharing!","Login to earn %1 for sharing!"
"Earn %1 for sharing!","Earn %1 for sharing!"
"Like this page and earn %1","Like this page and earn %1"
Share,Share
"Share this page and earn %1","Share this page and earn %1"
"Pin this page and earn %1","Pin this page and earn %1"
"Refer Friends","Refer Friends"
"Refer friend and earn %1. More friends more points!","Refer friend and earn %1. More friends more points!"
Tweet,Tweet
"Tweet this page and earn %1","Tweet this page and earn %1"
"Check this out!","Check this out!"
"Share with Friends","Share with Friends"
"Share the referral link in the social media and get points!","Share the referral link in the social media and get points!"
"Tweet on Twitter","Tweet on Twitter"
"Your referral link:","Your referral link:"
"Send Invitations","Send Invitations"
"Enter contacts of your friends to invite them.","Enter contacts of your friends to invite them."
Name,Name
Email,Email
Message,Message
Referrals,Referrals
Status,Status
Points,Points
"Anonymous visitor","Anonymous visitor"
"There are no Referrals","There are no Referrals"
